           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]      Area [mm^2]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       -2.1296496      -0.35537566       -29.882759       -11.928848       -3.2472398      0.014468101      0.040919468        3.6426735          3.30214       0.57953707
       -2.0003904      -0.81248836       -29.882759       -11.888489       -3.2085767      0.031065734       0.08787249         3.390173        3.0792537       0.57953702
       -2.0776297      -0.58749771       -29.882759       -11.895176       -3.2233691      0.023331568      0.065993309        3.5371311        3.2096336       0.57953692
       -4.9999363        -1.966513        -29.47379       -6.6396646       -1.5735273      -0.17098311       0.12607349          6.10326        5.7800207        1.1523202
       -4.1108572       -1.2855056       -29.648965       -8.7747478       -2.2544127      -0.10327088      0.092110783        5.7441611        5.3539734       0.57955745
       -7.1509102       -2.2048779       -29.008943       -3.3224416       -1.0697157      -0.28341076        0.4619917        6.4252734        6.3283458        1.1524001
       -5.1859226       -1.4045434        -29.47379        -6.742466       -1.6762247      -0.23504469      0.062115684        6.2427664        5.9822369        1.1523204
       -7.3500636       -1.4048369       -29.008943       -3.6305113       -1.3323591      -0.37699655       0.29480788        6.4622979        6.4780688        1.1523997
       -5.3089589      -0.82552466        -29.47379        -6.885787       -1.8006721      -0.17592032       0.02605954        6.3248196        6.1160851          1.15232
       -7.4599973      -0.58774308       -29.008943       -3.8400631       -1.4124057      -0.19344598       0.15095036        6.3984632        6.4721975        1.1523999
       -5.3675517      -0.23648516        -29.47379       -7.0595484       -1.9318316     -0.062812492     0.0032530949        6.3535194        6.1822119        1.1523203
        -7.479377       0.23648516       -29.008943       -3.9534531        -1.444382      0.062809467    -0.0032535081        6.2756042         6.335319        1.1523998
       -5.3609897       0.35542497        -29.47379       -7.0213079       -1.9126923      0.057913631     -0.017111782        6.3334079        6.1656828        1.1523203
       -7.4079666        1.0578428       -29.008943       -3.7045407       -1.3003851       0.31144691      -0.15989867        6.3898754        6.4226027        1.1523996
       -5.2893523        0.9430207        -29.47379       -6.8620267       -1.7864087       0.17125891     -0.039246917        6.2826643        6.0795212        1.1523201
        -7.246634        1.8663596       -29.008943       -3.5109477       -1.2221746       0.44077742      -0.31767696        6.4224019        6.3807898           1.1524
       -5.1535095        1.5191694        -29.47379        -6.732553       -1.6666195       0.23084646     -0.073993437        6.1793818           5.9263        1.1523204
        -6.997337        2.6522214       -29.008943       -3.2295487      -0.97662365       0.22354326      -0.51407391        6.3491535        6.1820741        1.1523998
       -4.9551101        2.0768776        -29.47379        -6.642889       -1.5683441       0.16745101      -0.13606772          6.01969        5.7055855        1.1523202
       -6.6631018        3.4058888       -29.008943       -2.8861222      -0.64996123     0.0026436541      -0.58708483        6.2184052        5.9115763        1.1523995
       -4.6965624        2.6093752        -29.47379       -6.6195846       -1.5130759      0.021160167      -0.21603782        5.8010454        5.4180489          1.15232
       -6.2479854        4.1182133       -29.008943       -2.4904594      -0.24250761      -0.12812388      -0.48476142        5.9464979        5.4945335           1.1524
